1	FALSE			146.6666667	100	100	100	8.477909401
2	""	 none 0 0 0 0 0 0 0 0 0 0 						
2	""	 none 0 0 0 0 0 0 0 0 0 0 						
3	Top2-Rand2			147.5	94.64601303	94.25845798	100	7.500995378
4	""	 none 0 0 0 0 0 0 0 0 0 0 						
5	Top2-Rand1			144	88.71039406	94.31681935	100	9.140452522
6	"" 	none 0 0 0 0 0 0 0 0 0 0 						
7	Top2-Rand0			146	43.19959938	90.63274769	100	9.321094783
8	""	 none 0 0 0 0 0 0 0 0 0 0 						
9	Top1-Rand1			144.6666667	85.18862742	93.88254943	99.99633198	8.775015728
10	""	 none 0 0 0 0 0 0 0 0 0 0 						
11	Top1-Rand0			144.3333333	85.73571614	95.05051106	99.89149352	8.942062484
2	""	 none 0 0 0 0 0 0 0 0 0 0 						
3	""			143	93.7848542	91.55178813	100	11.51963521
4	""	 none 0 0 0 0 0 0 0 0 0 0 						
5	""			147	83.51606742	92.76528946	100	10.32293653
6	""	 none 0 0 0 0 0 0 0 0 0 0 						
7	""			145.3333333	93.92052617	97.81520039	100	10.89686319
8	""	 none 0 0 0 0 0 0 0 0 0 0 						
9	""			146.3333333	77.00889249	93.12560105	99.99825549	9.340765207
10	""	 none 0 0 0 0 0 0 0 0 0 0 						
11	""			146.6666667	84.40398806	95.86344042	99.99825032	10.40769622
